City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
80,Ormara,PK,2021-12-05 13:43:55,25.2088,64.6357,77.07,59,0,13.29
81,Hue,VN,2021-12-05 13:42:53,16.4667,107.6,66.31,88,75,6.91
82,Pokhara,NP,2021-12-05 13:43:56,28.2333,83.9833,61.16,69,0,5.5
83,Chokurdakh,RU,2021-12-05 13:43:56,70.6333,147.9167,-42.48,100,58,4.21
84,Millington,US,2021-12-05 13:43:56,35.3415,-89.8973,62.42,96,90,0.0
85,Saint Anthony,US,2021-12-05 13:43:57,45.0205,-93.218,30.72,78,90,7.0
86,Aktau,KZ,2021-12-05 13:43:57,43.65,51.2,46.98,56,100,10.33
87,Albany,US,2021-12-05 13:43:00,42.6001,-73.9662,34.38,81,100,3.29
88,Naze,JP,2021-12-05 13:43:57,28.3667,129.4833,61.99,65,100,18.7
89,Bengkulu,ID,2021-12-05 13:43:57,-3.8004,102.2655,75.58,91,100,8.12
90,Port Alfred,ZA,2021-12-05 13:43:58,-33.5906,26.891,70.9,92,100,26.08
91,Mehamn,NO,2021-12-05 13:43:58,71.0357,27.8492,20.68,91,94,24.07
92,Khatanga,RU,2021-12-05 13:44:58,71.9667,102.5,-19.5,96,100,14.32
93,Arraial Do Cabo,BR,2021-12-05 13:44:58,-22.9661,-42.0278,82.36,69,0,19.57
94,Vanimo,PG,2021-12-05 13:44:59,-2.6741,141.3028,80.22,82,95,4.92
95,Iqaluit,CA,2021-12-05 13:44:59,63.7506,-68.5145,8.33,65,90,25.01
96,Samana,DO,2021-12-05 13:44:59,19.2056,-69.3369,73.62,94,40,0.0
97,Tiksi,RU,2021-12-05 13:44:59,71.6872,128.8694,-11.13,95,100,6.58
98,Bundaberg,AU,2021-12-05 13:45:00,-24.85,152.35,73.22,91,94,4.0
99,San Quintin,MX,2021-12-05 13:45:00,30.4833,-115.95,57.24,89,69,8.52
100,Madanapalle,IN,2021-12-05 13:45:00,13.55,78.5,72.66,75,7,3.09
101,Broome,US,2021-12-05 13:45:00,42.2506,-75.833,32.9,79,1,3.0
102,Taoudenni,ML,2021-12-05 13:41:02,22.6783,-3.9836,71.73,13,100,12.59
103,Dikson,RU,2021-12-05 13:45:01,73.5069,80.5464,8.8,96,100,8.08
104,Port Lincoln,AU,2021-12-05 13:45:01,-34.7333,135.8667,58.86,84,36,5.7
105,Vaini,TO,2021-12-05 13:45:01,-21.2,-175.2,77.16,88,40,8.05
106,Ostrovnoy,RU,2021-12-05 13:45:01,68.0531,39.5131,3.58,93,79,13.11
107,Pringsewu,ID,2021-12-05 13:45:02,-5.3582,104.9744,74.44,96,99,0.83
108,Saint-Philippe,RE,2021-12-05 13:45:02,-21.3585,55.7679,82.22,76,12,11.32
109,Lalibela,ET,2021-12-05 13:45:02,12.0333,39.0333,72.37,22,0,4.05
110,Xiongzhou,CN,2021-12-05 13:45:02,25.1167,114.3,50.59,54,0,2.64
111,Katsuura,JP,2021-12-05 13:45:03,35.1333,140.3,52.2,71,100,8.84
112,Lere,NG,2021-12-05 13:45:03,10.387,8.5726,91.24,17,95,8.77
113,Afua,BR,2021-12-05 13:45:03,-0.1567,-50.3867,84.42,70,76,3.94
114,Meulaboh,ID,2021-12-05 13:45:04,4.1363,96.1285,79.11,81,91,3.33
115,Fare,PF,2021-12-05 13:45:04,-16.7,-151.0167,80.42,69,28,14.07
116,Paso De Los Toros,UY,2021-12-05 13:45:04,-32.8167,-56.5167,77.36,52,79,9.69
117,Novoagansk,RU,2021-12-05 13:44:30,61.9449,76.6625,1.53,95,100,12.37
118,Tessalit,ML,2021-12-05 13:45:04,20.1986,1.0114,84.18,10,11,2.44
119,Doha,QA,2021-12-05 13:45:05,25.2867,51.5333,75.51,50,0,5.75
120,Vila Velha,BR,2021-12-05 13:45:05,-20.3297,-40.2925,82.35,76,40,1.99
121,Dingle,PH,2021-12-05 13:45:05,10.9995,122.6711,72.88,89,68,7.63
122,Kapaa,US,2021-12-05 13:45:05,22.0752,-159.319,62.92,82,75,8.05
123,Pili,PH,2021-12-05 13:45:06,13.5833,123.3,71.67,89,97,5.88
124,Kruisfontein,ZA,2021-12-05 13:45:06,-34.0033,24.7314,67.89,69,49,12.03
125,Laurel,US,2021-12-05 13:45:06,39.0993,-76.8483,46.45,62,40,3.44
126,Lavrentiya,RU,2021-12-05 13:45:06,65.5833,-171.0,29.62,97,100,31.81
127,Codrington,AU,2021-12-05 13:45:07,-38.2667,141.9667,47.86,89,0,5.77
128,Hobyo,SO,2021-12-05 13:45:07,5.3505,48.5268,80.62,68,6,17.9
129,Itoman,JP,2021-12-05 13:45:07,26.1247,127.6694,68.02,60,75,8.05
130,Russell,US,2021-12-05 13:45:07,32.3502,-85.1999,60.8,100,20,0.0
131,Porto Nacional,BR,2021-12-05 13:45:08,-10.7081,-48.4172,78.8,85,96,2.89
132,Tuktoyaktuk,CA,2021-12-05 13:45:08,69.4541,-133.0374,-14.96,82,100,7.34
133,Sakassou,CI,2021-12-05 13:45:08,7.4546,-5.2926,89.44,25,3,4.07
134,Georgetown,MY,2021-12-05 13:41:21,5.4112,100.3354,82.89,74,20,1.01
135,Batticaloa,LK,2021-12-05 13:45:08,7.7102,81.6924,80.37,80,0,6.49
136,Tuatapere,NZ,2021-12-05 13:45:09,-46.1333,167.6833,47.82,87,100,4.23
137,Concepcion Del Uruguay,AR,2021-12-05 13:45:09,-32.4825,-58.2372,79.99,58,74,1.99
138,Xichang,CN,2021-12-05 13:46:09,27.8964,102.2634,53.69,78,87,2.66
139,Pravia,ES,2021-12-05 13:46:09,43.4906,-6.1508,53.06,76,75,20.71
140,Ayan,RU,2021-12-05 13:46:10,56.45,138.1667,21.6,67,100,10.45
141,Kyra,RU,2021-12-05 13:46:10,49.5776,111.9753,16.21,68,6,7.92
142,Mchinji,MW,2021-12-05 13:46:10,-13.7984,32.8802,90.75,19,82,8.7
143,Hasaki,JP,2021-12-05 13:41:41,35.7333,140.8333,45.0,61,85,10.49
144,Mildura,AU,2021-12-05 13:46:10,-34.2,142.15,62.56,34,100,0.0
145,San Jeronimo,PE,2021-12-05 13:46:11,-11.9472,-75.2829,49.91,86,100,5.57
146,Atar,MR,2021-12-05 13:46:11,20.5169,-13.0499,83.28,11,100,14.79
147,Nome,US,2021-12-05 13:46:11,64.5011,-165.4064,23.07,93,90,42.57
148,Peniche,PT,2021-12-05 13:44:26,39.3558,-9.3811,63.63,70,80,18.34
149,Verkhnyaya Inta,RU,2021-12-05 13:46:12,65.9811,60.3094,-18.98,92,8,4.72
150,Goderich,CA,2021-12-05 13:45:38,43.7501,-81.7165,30.9,69,100,4.61
151,Bijela,BA,2021-12-05 13:46:12,43.6086,17.9519,45.3,100,100,5.57
152,Kerema,PG,2021-12-05 13:46:12,-7.9631,145.7785,77.81,84,99,4.7
153,Padre Bernardo,BR,2021-12-05 13:46:13,-15.35,-48.5,80.69,67,23,2.95
154,Biscarrosse,FR,2021-12-05 13:46:13,44.3945,-1.1672,49.33,76,75,16.11
155,Cuite,BR,2021-12-05 13:46:13,-6.4836,-36.1536,87.37,38,50,16.4
156,Isla Mujeres,MX,2021-12-05 13:46:13,21.2311,-86.731,78.17,73,2,7.78
157,Rawson,AR,2021-12-05 13:46:14,-43.3002,-65.1023,75.02,36,0,8.41
158,Bambous Virieux,MU,2021-12-05 13:46:14,-20.3428,57.7575,84.45,65,40,11.5
159,Uyskoye,RU,2021-12-05 13:46:14,54.3775,60.0047,29.53,90,100,4.99
160,New Norfolk,AU,2021-12-05 13:46:14,-42.7826,147.0587,58.5,94,0,2.15
