City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Port Macquarie,AU,-31.4333,152.9167,72.9,100,90,1.14,light rain
150,Hilo,US,19.7297,-155.09,80.28,93,90,12.66,moderate rain
151,Atambua,ID,-9.1061,124.8925,80.58,73,100,2.35,overcast clouds
152,Tautira,PF,-17.7333,-149.15,86.02,76,74,15.17,broken clouds
153,Bundaberg,AU,-24.85,152.35,82.69,61,75,8.05,broken clouds
154,Mwene-Ditu,CD,-7.0,23.45,66.09,97,100,4.74,overcast clouds
155,Saint-Georges,GD,12.0564,-61.7485,76.68,88,40,11.5,scattered clouds
156,Sarangani,PH,5.4033,125.4636,82.65,76,99,11.32,overcast clouds
157,Ashland,US,40.8167,-82.2665,32.56,76,31,18.5,scattered clouds
158,Bandarbeyla,SO,9.4942,50.8122,74.5,66,11,14.54,few clouds
159,Torbay,CA,47.6666,-52.7314,34.68,81,90,11.5,overcast clouds
160,Les Cayes,HT,18.2,-73.75,77.63,83,0,4.9,clear sky
161,Keti Bandar,PK,24.1447,67.4497,68.27,31,0,13.35,clear sky
162,Saint-Paul,RE,-21.0096,55.2707,75.31,78,2,5.53,clear sky
163,Iqaluit,CA,63.7506,-68.5145,11.93,61,75,1.99,broken clouds
164,Pritzwalk,DE,53.1494,12.1741,31.71,91,100,10.22,overcast clouds
165,Bafra,TR,41.5678,35.9069,58.82,58,1,9.98,clear sky
166,Klaksvik,FO,62.2266,-6.589,41.92,75,64,34.94,broken clouds
167,Bethel,US,41.3712,-73.414,58.05,88,97,3.0,overcast clouds
168,San Cristobal,VE,7.7669,-72.225,73.58,78,60,1.25,broken clouds
169,Edd,ER,13.9297,41.6925,79.14,60,0,15.82,clear sky
170,Luderitz,NA,-26.6481,15.1594,61.81,82,0,17.34,clear sky
171,Pauini,BR,-7.7136,-66.9764,73.18,99,100,2.04,heavy intensity rain
172,Dolores,AR,-36.3132,-57.6792,60.87,91,0,9.44,clear sky
173,Sungairaya,ID,0.7,108.9,78.98,85,99,5.08,overcast clouds
174,Martinsburg,US,39.4562,-77.9639,51.85,35,90,21.85,overcast clouds
175,Lambarene,GA,-0.7001,10.2406,73.47,97,100,2.98,light rain
176,Mogadishu,SO,2.0371,45.3438,78.91,76,89,14.38,overcast clouds
177,Oranjemund,NA,-28.55,16.4333,60.08,88,13,14.76,few clouds
178,Erdaojiang,CN,41.7764,126.0319,11.5,97,82,1.99,broken clouds
179,Esso,RU,55.9333,158.7,18.3,95,100,3.42,light snow
180,Anloga,GH,5.7947,0.8973,82.62,83,89,12.06,overcast clouds
181,Bontang,ID,0.1333,117.5,77.36,84,100,6.24,overcast clouds
182,Varnamo,SE,57.186,14.04,18.75,92,89,5.08,overcast clouds
183,Imeni Poliny Osipenko,RU,52.4201,136.4853,-6.02,89,1,4.18,clear sky
184,Camacha,PT,33.0833,-16.3333,61.56,63,75,8.05,broken clouds
185,Carstairs,CA,51.5668,-114.102,14.25,80,38,6.13,scattered clouds
